1 0.00
2 1.44
3 3.45
4 6.01
5 9.48
6 11.74
7 15.76
8 18.99
9 22.97
10 27.37
11 32.25
12 36.16
13 40.00
14 46.07
15 50.64
16 55.13
17 61.34
18 67.68
19 71.45
20 76.26
21 83.80
22 88.45
23 93.52
24 100.79
25 106.12
26 112.54
27 116.50
28 124.04
29 131.58
30 135.31
31 142.90
32 148.86
33 157.74
34 161.68
35 171.67
36 177.23
37 184.95
38 190.07
39 195.44
40 203.27
41 214.57
42 214.70
43 227.13
44 227.92
45 236.96
46 244.90
47 255.33
48 258.90
49 267.77
50 274.16
51 278.55
52 292.53
53 299.33
54 300.31
55 311.31
56 324.63
57 327.00
58 336.55
59 342.00
60 349.60
61 352.93
62 371.27
63 373.45
64 379.77
65 389.70
66 395.09
67 408.75
68 419.73
69 415.50
70 431.22
71 437.01
72 450.88
73 449.05
74 460.54
75 467.36
76 480.53
77 490.55
78 497.83
79 493.55
80 513.24
81 515.83
82 522.53
83 539.85
84 551.29
85 551.97
86 556.44
87 569.50
88 575.15
89 580.67
90 594.75
91 603.49
92 615.12
93 615.48
94 632.93
95 642.73
96 647.75
97 660.99
98 657.33
99 670.02
100 679.87
