1 0.00 0.00 0.00
2 1.00 2.00 1.52
3 3.00 5.00 3.63
4 4.00 9.00 6.32
5 7.00 14.00 9.39
6 9.00 20.00 12.82
7 11.00 27.00 16.54
8 12.00 35.00 20.38
9 16.00 44.00 24.82
10 19.00 54.00 29.32
11 22.00 65.00 33.56
12 24.00 77.00 37.97
13 27.00 90.00 43.88
14 29.00 104.00 46.87
15 31.00 119.00 53.52
16 32.00 135.00 59.03
17 37.00 152.00 64.17
18 41.00 170.00 69.72
19 45.00 189.00 76.35
20 48.00 209.00 80.19
21 52.00 230.00 84.69
22 55.00 252.00 90.93
23 58.00 275.00 99.14
24 60.00 299.00 106.74
25 64.00 324.00 108.07
26 67.00 350.00 115.49
27 70.00 377.00 126.05
28 72.00 405.00 130.24
29 75.00 434.00 135.87
30 77.00 464.00 140.68
31 79.00 495.00 147.84
32 80.00 527.00 156.35
33 86.00 560.00 159.56
34 91.00 594.00 167.00
35 96.00 629.00 174.45
36 100.00 665.00 181.05
37 105.00 702.00 190.44
38 109.00 740.00 196.42
39 113.00 779.00 200.55
40 116.00 819.00 211.22
41 121.00 860.00 220.52
42 125.00 902.00 223.90
43 129.00 945.00 231.74
44 132.00 989.00 237.90
45 136.00 1034.00 247.65
46 139.00 1080.00 252.88
47 142.00 1127.00 260.79
48 144.00 1175.00 268.86
49 149.00 1224.00 277.46
50 153.00 1274.00 286.44
51 157.00 1325.00 294.36
52 160.00 1377.00 299.23
53 164.00 1430.00 305.56
54 167.00 1484.00 315.49
55 170.00 1539.00 316.22
56 172.00 1595.00 331.38
57 176.00 1652.00 336.37
58 179.00 1710.00 340.97
59 182.00 1769.00 354.29
60 184.00 1829.00 359.63
61 187.00 1890.00 360.19
62 189.00 1952.00 376.32
63 191.00 2015.00 386.82
64 192.00 2079.00 396.66
65 199.00 2144.00 397.77
66 205.00 2210.00 409.59
67 211.00 2277.00 415.52
68 216.00 2345.00 421.03
69 222.00 2414.00 437.15
70 227.00 2484.00 439.03
71 232.00 2555.00 442.81
72 236.00 2627.00 462.29
73 242.00 2700.00 473.96
74 247.00 2774.00 476.35
75 252.00 2849.00 484.12
76 256.00 2925.00 485.22
77 261.00 3002.00 500.69
78 265.00 3080.00 508.05
79 269.00 3159.00 502.51
80 272.00 3239.00 523.23
81 278.00 3320.00 528.83
82 283.00 3402.00 537.90
83 288.00 3485.00 550.90
84 292.00 3569.00 553.65
85 297.00 3654.00 563.40
86 301.00 3740.00 571.54
87 305.00 3827.00 586.98
88 308.00 3915.00 596.82
89 313.00 4004.00 605.76
90 317.00 4094.00 612.79
91 321.00 4185.00 622.91
92 324.00 4277.00 622.31
93 328.00 4370.00 637.75
94 331.00 4464.00 646.17
95 334.00 4559.00 649.36
96 336.00 4655.00 658.93
97 342.00 4752.00 679.36
98 347.00 4850.00 677.39
99 352.00 4949.00 686.67
100 356.00 5049.00 705.54
